Wavelength,Average,Red,Green,Blue
420.764,0,0,0,0
420.970,0,0,0,0
421.176,0,0,0,0
421.381,0,0,0,0
421.587,0,0,0,0
421.793,0,0,0,0
421.998,0,0,0,0
422.204,0,0,0,0
422.410,0,0,0,0
422.615,0,0,0,0
422.821,0,0,0,0
423.027,0,0,0,0
423.232,0,0,0,0
423.438,0,0,0,0
423.644,0,0,0,0
423.849,0,0,0,0
424.055,0,0,0,0
424.261,0,0,0,0
424.466,0,0,0,0
424.672,0,0,0,0
424.878,0,0,0,0
425.084,0,0,0,0
425.289,0,0,0,0
425.495,0,0,0,0
425.701,0,0,0,0
425.906,0,0,0,0
426.112,0,0,0,0
426.318,0,0,0,0
426.523,0,0,0,0
426.729,0,0,0,0
426.935,0,0,0,0
427.140,0,0,0,0
427.346,0,0,0,0
427.552,0,0,0,0
427.757,0,0,0,0
427.963,0,0,0,0
428.169,0,0,0,0
428.374,0,0,0,0
428.580,0,0,0,0
428.786,0,0,0,0
428.992,0,0,0,0
429.197,0,0,0,0
429.403,0,0,0,0
429.609,0,0,0,0
429.814,0,0,0,0
430.020,0,0,0,0
430.226,0,0,0,0
430.431,0,0,0,0
430.637,0,0,0,0
430.843,0,0,0,0
431.048,0,0,0,0
431.254,0,0,0,0
431.460,0,0,0,0
431.665,0,0,0,0
431.871,0,0,0,0
432.077,0,0,0,0
432.282,0,0,0,0
432.488,0,0,0,0
432.694,0,0,0,0
432.900,0,0,0,0
433.105,0,0,0,0
433.311,0,0,0,0
433.517,0,0,0,0
433.722,0,0,0,0
433.928,0,0,0,0
434.134,0,0,0,0
434.339,0,0,0,0
434.545,0,0,0,0
434.751,0,0,0,0
434.956,0,0,0,0
435.162,0,0,0,0
435.368,0,0,0,0
435.573,0,0,0,0
435.779,0,0,0,0
435.985,0,0,0,0
436.190,0,0,0,0
436.396,0,0,0,0
436.602,0,0,0,0
436.808,0,0,0,0
437.013,0,0,0,2
437.219,0,0,0,2
437.425,2,0,1,6
437.630,3,0,0,10
437.836,5,1,0,16
438.042,5,1,0,14
438.247,3,0,0,10
438.453,2,0,1,6
438.659,0,0,0,2
438.864,0,0,0,2
439.070,0,0,0,2
439.276,0,0,0,2
439.481,0,0,0,2
439.687,0,0,0,2
439.893,0,0,0,2
440.098,0,0,0,2
440.304,0,0,0,2
440.510,0,0,0,2
440.716,0,0,0,2
440.921,0,0,0,2
441.127,1,0,0,4
441.333,1,0,0,4
441.538,1,0,0,4
441.744,1,0,0,4
441.950,1,0,0,4
442.155,1,0,0,4
442.361,1,0,0,4
442.567,1,0,0,4
442.772,0,0,0,2
442.978,0,0,0,2
443.184,0,0,0,2
443.389,0,0,0,2
443.595,0,0,0,2
443.801,0,0,0,2
444.006,0,0,0,2
444.212,0,0,0,2
444.418,0,0,0,2
444.624,0,0,0,2
444.829,0,0,0,2
445.035,0,0,0,2
445.241,0,0,0,2
445.446,0,0,0,2
445.652,0,0,0,2
445.858,0,0,0,2
446.063,0,0,0,2
446.269,0,0,0,2
446.475,0,0,0,2
446.680,0,0,0,2
446.886,0,0,0,2
447.092,0,0,0,2
447.297,0,0,0,2
447.503,0,0,0,2
447.709,0,0,0,2
447.914,0,0,0,2
448.120,0,0,0,2
448.326,0,0,0,2
448.532,1,0,0,4
448.737,2,0,1,6
448.943,2,0,1,6
449.149,2,0,0,8
449.354,3,0,0,10
449.560,4,0,0,12
449.766,4,0,0,13
449.971,5,1,0,14
450.177,5,1,0,14
450.383,5,1,0,14
450.588,4,0,0,12
450.794,3,0,0,10
451.000,4,0,0,12
451.205,5,1,0,16
451.411,6,1,0,18
451.617,7,1,0,20
451.822,7,0,1,22
452.028,8,0,0,24
452.234,8,0,0,24
452.440,8,0,0,26
452.645,8,0,0,26
452.851,8,0,0,26
453.057,8,0,0,26
453.262,8,0,0,24
453.468,7,0,1,22
453.674,7,0,1,22
453.879,8,0,0,24
454.085,7,0,0,21
454.291,7,0,0,21
454.496,6,0,0,20
454.702,6,0,0,18
454.908,5,1,0,16
455.113,5,1,0,14
455.319,5,1,0,14
455.525,5,1,0,14
455.730,5,1,0,14
455.936,5,1,0,14
456.142,5,1,0,14
456.348,5,1,0,14
456.553,5,1,0,14
456.759,5,1,0,16
456.965,5,1,0,16
457.170,5,1,0,16
457.376,5,1,0,16
457.582,5,1,0,14
457.787,4,0,0,12
457.993,3,0,0,10
458.199,2,0,0,8
458.404,2,1,0,6
458.610,2,1,0,6
458.816,2,1,0,6
459.021,2,1,0,5
459.227,2,1,0,5
459.433,2,1,0,5
459.639,2,1,0,5
459.844,2,1,0,5
460.050,1,0,0,4
460.256,1,0,0,4
460.461,1,0,0,4
460.667,1,0,0,4
460.873,1,0,0,4
461.078,1,0,0,4
461.284,1,0,0,4
461.490,1,0,0,4
461.695,1,0,0,4
461.901,1,0,0,4
462.107,1,0,0,4
462.312,1,0,0,4
462.518,1,0,0,4
462.724,2,1,0,5
462.929,2,1,0,5
463.135,2,1,0,5
463.341,1,0,0,5
463.547,1,0,0,5
463.752,2,0,1,6
463.958,2,0,0,8
464.164,2,0,0,8
464.369,3,0,0,10
464.575,3,0,0,10
464.781,4,0,0,12
464.986,5,1,1,13
465.192,5,1,0,14
465.398,5,1,0,16
465.603,6,1,0,18
465.809,6,0,0,18
466.015,6,0,0,18
466.220,6,0,0,18
466.426,6,0,0,18
466.632,6,0,0,20
466.837,6,0,0,20
467.043,7,0,0,21
467.249,7,0,0,21
467.455,8,0,0,24
467.660,8,0,0,26
467.866,10,0,0,30
468.072,10,0,0,30
468.277,12,0,0,36
468.483,12,0,0,38
468.689,14,0,1,42
468.894,16,0,0,48
469.100,18,0,0,54
469.306,19,0,1,58
469.511,20,0,0,62
469.717,21,0,0,64
469.923,22,0,0,67
470.128,23,1,0,68
470.334,23,1,0,68
470.540,22,1,0,66
470.745,20,0,0,62
470.951,19,1,0,57
471.157,16,0,0,50
471.363,16,0,1,47
471.568,15,1,0,44
471.774,13,0,0,39
471.980,11,0,0,34
472.185,11,0,1,32
472.391,11,0,1,32
472.597,10,1,0,31
472.802,8,0,0,26
473.008,8,0,0,24
473.214,7,0,1,22
473.419,7,0,0,21
473.625,6,0,0,20
473.831,7,1,0,20
474.036,6,1,0,18
474.242,5,1,0,16
474.448,5,1,0,16
474.653,5,1,0,16
474.859,5,1,1,13
475.065,4,0,0,12
475.271,4,0,0,12
475.476,3,0,0,10
475.682,2,0,0,8
475.888,2,0,0,8
476.093,2,1,0,6
476.299,2,1,0,6
476.505,2,0,0,8
476.710,2,0,0,8
476.916,2,0,0,8
477.122,3,0,0,10
477.327,5,1,0,14
477.533,6,0,0,18
477.739,7,0,1,22
477.944,8,0,0,26
478.150,8,0,0,26
478.356,9,0,0,28
478.561,8,0,0,26
478.767,8,0,0,24
478.973,7,1,0,21
479.179,5,1,0,16
479.384,4,0,0,12
479.590,2,0,0,8
479.796,0,0,0,2
480.001,0,0,0,2
480.207,0,0,0,0
480.413,0,0,0,0
480.618,0,0,0,0
480.824,0,0,0,0
481.030,0,0,0,0
481.235,0,0,0,0
